top - 20:06:30 up  4:17,  1 user,  load average: 1.45, 1.31, 1.33
Tasks: 463 total,   1 running, 462 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.8 us,  2.2 sy,  0.0 ni, 93.5 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31818.5 total,  17872.5 free,   9008.2 used,   6366.7 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  22810.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4432 faezehg+  20   0   32.8g  25432   3972 S   0.0   0.1   0:00.71 chrome
   4467 faezehg+  20   0   33.0g 180904  96196 S   0.0   0.6  12:11.58 chrome
   4468 faezehg+  20   0   32.7g 184504 147480 S   0.0   0.6   1:21.77 chrome
   4477 faezehg+  20   0   32.9g  66640  43060 S   0.0   0.2   0:01.68 chrome
   4595 faezehg+  20   0 1394.3g 207152 101972 S   0.0   0.6   2:27.47 chrome
   5171 root      20   0  487400  44036  35904 S   0.0   0.1   0:01.10 fwupd
   5327 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   5562 faezehg+  20   0  262.5g 365928 207692 S   0.0   1.1   3:19.95 v2rayN
   6292 faezehg+  20   0   32.6g 131976 109860 S   0.0   0.4   0:00.68 chrome
   6683 faezehg+  20   0   43344  21384  12296 S   0.0   0.1   0:00.04 gnome-t+
   6686 faezehg+  20   0  388624  29200  21980 S   0.0   0.1   0:00.16 gnome-t+
   6691 faezehg+  20   0  883680  72880  49740 S   0.0   0.2   0:41.55 gnome-t+
   6705 faezehg+  20   0   26616  12156   5876 S   0.0   0.0   0:10.34 zsh
   6726 faezehg+  20   0   19356   4772   2108 S   0.0   0.0   0:00.00 zsh
   6774 faezehg+  20   0   22212   7204   1920 S   0.0   0.0   0:00.00 zsh
   6776 faezehg+  20   0   22196   6996   1716 S   0.0   0.0   0:00.10 zsh
   6777 faezehg+  20   0    6976   2104   1736 S   0.0   0.0   0:00.53 gitstat+
   6870 faezehg+  20   0  395808  10840   7952 S   0.0   0.0   0:00.47 gvfsd-r+
   7251 faezehg+  20   0 1158.1g 250636 175904 S   0.0   0.8   0:34.34 code
   7257 faezehg+  20   0   32.7g  95780  79760 S   0.0   0.3   0:00.02 code
   7258 faezehg+  20   0   32.7g  95840  79912 S   0.0   0.3   0:00.03 code
   7260 faezehg+  20   0   32.7g  19792   3756 S   0.0   0.1   0:00.00 code
   7279 faezehg+  20   0   32.0g   3744   3392 S   0.0   0.0   0:00.00 chrome_+
   7299 faezehg+  20   0   32.9g 120528  73492 S   0.0   0.4   1:48.86 code
   7302 faezehg+  20   0   32.5g 118856 100460 S   0.0   0.4   0:03.05 code
   7317 faezehg+  20   0 1158.3g 321768 110096 S   0.0   1.0   3:49.50 code
   7368 faezehg+  20   0 1161.5g 550012 123944 S   0.0   1.7   1:21.91 code
   7380 faezehg+  20   0 1157.9g 185672 117256 S   0.0   0.6   0:10.70 code
   7381 faezehg+  20   0 1157.9g 147472 114548 S   0.0   0.5   0:05.33 code
   7420 faezehg+  20   0 1157.9g 163428 115120 S   0.0   0.5   0:45.61 code
   7437 faezehg+  20   0   22916  11224   5120 S   0.0   0.0   0:01.27 zsh
   7439 faezehg+  20   0   22916  11100   5000 S   0.0   0.0   0:01.27 zsh
   7484 faezehg+  20   0 1156.0g 130760 104540 S   0.0   0.4   0:00.81 code
   7485 faezehg+  20   0 1156.0g 130532 104172 S   0.0   0.4   0:00.79 code
   7486 faezehg+  20   0 1257420  31020  21612 S   0.0   0.1   0:00.89 docker-+
   7513 faezehg+  20   0 1257420  29128  20920 S   0.0   0.1   0:00.50 docker-+
   7679 faezehg+  20   0   22136   7068   1924 S   0.0   0.0   0:00.00 zsh
   7680 faezehg+  20   0   22136   7044   1904 S   0.0   0.0   0:00.00 zsh
   7681 faezehg+  20   0   21988   6792   1656 S   0.0   0.0   0:00.09 zsh
   7684 faezehg+  20   0   21988   6856   1720 S   0.0   0.0   0:00.09 zsh
   7687 faezehg+  20   0   22224   7468   2172 S   0.0   0.0   0:00.00 zsh
   7688 faezehg+  20   0   22228   7472   2172 S   0.0   0.0   0:00.00 zsh
   7697 faezehg+  20   0    6976   2124   1780 S   0.0   0.0   0:00.46 gitstat+
   7698 faezehg+  20   0    6980   2124   1780 S   0.0   0.0   0:00.47 gitstat+
   7796 faezehg+  20   0 1156.0g 192248 107012 S   0.0   0.6   0:03.84 code
   8117 faezehg+  20   0  468032   9296   8204 S   0.0   0.0   0:00.11 gvfsd-n+
   8129 faezehg+  20   0  611748  25216  21456 S   0.0   0.1   0:00.10 gvfsd-s+
   8140 faezehg+  20   0  396188   9508   8408 S   0.0   0.0   0:00.10 gvfsd-d+
   8428 root      20   0       0      0      0 I   0.0   0.0   0:01.23 kworker+
   9659 faezehg+  20   0   28256  16392   5224 S   0.0   0.1   0:01.98 zsh
   9664 faezehg+  20   0   19628   4856   1984 S   0.0   0.0   0:00.00 zsh
   9708 faezehg+  20   0   22144   7160   1924 S   0.0   0.0   0:00.00 zsh
   9709 faezehg+  20   0   22128   6948   1720 S   0.0   0.0   0:00.09 zsh
   9711 faezehg+  20   0    6964   1940   1656 S   0.0   0.0   0:00.46 gitstat+
  10636 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
  22353 root      20   0       0      0      0 I   0.0   0.0   0:01.16 kworker+
  23571 faezehg+  20   0   23268  11620   5356 S   0.0   0.0   0:03.08 zsh
  23576 faezehg+  20   0   19652   5068   2108 S   0.0   0.0   0:00.00 zsh
  23620 faezehg+  20   0   22152   7124   1876 S   0.0   0.0   0:00.00 zsh
  23621 faezehg+  20   0   22136   6960   1720 S   0.0   0.0   0:00.08 zsh
  23623 faezehg+  20   0    6968   2136   1780 S   0.0   0.0   0:00.46 gitstat+
  40231 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  40340 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
  52600 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker+
  52906 root      20   0       0      0      0 I   0.0   0.0   0:00.39 kworker+
  52909 root      20   0       0      0      0 I   0.0   0.0   0:00.73 kworker+
  53948 faezehg+  20   0 2070812  28516  19952 S   0.0   0.1   0:00.32 docker
  53972 faezehg+  20   0 2844088  55068  40500 S   0.0   0.2   0:14.45 docker-+
  54053 root      20   0 1238360  14536  10632 S   0.0   0.0   0:02.22 contain+
  54061 root      20   0 1238360  14888  10888 S   0.0   0.0   0:05.63 contain+
  54100 root      20   0   17976   2936   2640 S   0.0   0.0   0:00.15 run.sh
  54108 root      20   0   17976   2764   2464 S   0.0   0.0   0:00.15 run.sh
  54180 root      20   0 1745440   4764   3588 S   0.0   0.0   0:00.00 docker-+
  54188 root      20   0 1745440   4668   3460 S   0.0   0.0   0:00.00 docker-+
  54229 root      20   0 1745440   4868   3588 S   0.0   0.0   0:00.00 docker-+
  54237 root      20   0 1745440   4824   3588 S   0.0   0.0   0:00.01 docker-+
  54248 root      20   0 1671708   4740   3584 S   0.0   0.0   0:00.01 docker-+
  54259 root      20   0 1819172   5048   3572 S   0.0   0.0   0:00.02 docker-+
  54917 root      20   0    9.8g 392188  25896 S   0.0   1.2   0:29.72 java
  55171 root      20   0    9.8g 590936  25212 S   0.0   1.8   0:41.29 java
  55328 root      20   0 1238360  14980  10744 S   0.0   0.0   0:02.28 contain+
  55331 root      20   0 1238104  15052  10748 S   0.0   0.0   0:02.30 contain+
  55374 root      20   0   17976   2800   2564 S   0.0   0.0   0:00.15 run.sh
  55383 root      20   0   17976   2936   2636 S   0.0   0.0   0:00.14 run.sh
  56196 root      20   0    9.8g 383464  24992 S   0.0   1.2   0:43.81 java
  56210 root      20   0    9.8g 393908  24988 S   0.0   1.2   0:43.04 java
  56807 root      20   0 1238360  14988  10688 S   0.0   0.0   0:02.64 contain+
  56829 root      20   0   17976   2848   2552 S   0.0   0.0   0:00.14 run.sh
  56882 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker+
  56890 root      20   0 1745440   4692   3512 S   0.0   0.0   0:00.01 docker-+
  56897 root      20   0 1671708   4900   3572 S   0.0   0.0   0:00.00 docker-+
  56939 root      20   0 1238680  15144  10684 S   0.0   0.0   0:02.28 contain+
  56949 root      20   0 1238360  15072  10748 S   0.0   0.0   0:02.19 contain+
  57015 root      20   0   17976   2852   2552 S   0.0   0.0   0:00.17 run.sh
  57027 root      20   0   17976   2852   2552 S   0.0   0.0   0:00.17 run.sh
  57794 root      20   0   10.0g 569588  25740 S   0.0   1.7   1:43.78 java
  58109 root      20   0    9.9g 471472  25756 S   0.0   1.4   1:10.83 java
  58136 root      20   0    9.9g 589372  25600 S   0.0   1.8   1:13.25 java
  68560 root      20   0       0      0      0 I   0.0   0.0   0:00.34 kworker+
  70954 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  70988 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker+
  71008 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker+
  71034 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker+
  71066 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/135+
  71096 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
  75552 faezehg+  20   0 1970128 186940 128816 S   0.0   0.6   0:53.89 gnome-c+
  77744 faezehg+  20   0 1324832  62452  20608 S   0.0   0.2   0:13.10 xray
  81601 faezehg+  20   0 1266380 168216 123604 S   0.0   0.5   0:04.05 okular
  81627 faezehg+  20   0  555400  40832  33920 S   0.0   0.1   0:52.73 kactivi+
  81638 faezehg+  20   0  240016  25472  22912 S   0.0   0.1   0:01.50 kglobal+
  83105 faezehg+  20   0 1392.6g 185220 127816 S   0.0   0.6   0:04.37 chrome
  90587 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  93023 root      20   0       0      0      0 I   0.0   0.0   0:03.86 kworker+
  93627 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  93780 root      20   0       0      0      0 I   0.0   0.0   0:03.89 kworker+
  96263 faezehg+  20   0   94420   6556   5760 S   0.0   0.0   0:00.02 oosplash
  96279 faezehg+  20   0 1696364 411724 178416 S   0.0   1.3   0:11.87 soffice+
  96734 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
  98739 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 100992 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 101184 root      20   0       0      0      0 I   0.0   0.0   0:02.87 kworker+
 105376 root      20   0       0      0      0 I   0.0   0.0   0:02.90 kworker+
 105744 root      20   0       0      0      0 I   0.0   0.0   0:03.37 kworker+
 106172 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 106284 faezehg+  20   0 2070812  28928  20736 S   0.0   0.1   0:00.24 docker
 106318 root      20   0   18244   3200   2688 S   0.0   0.0   0:00.09 bash
 107699 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 109384 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 111570 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 113403 root       0 -20       0      0      0 I   0.0   0.0   0:01.26 kworker+
 114367 faezehg+  20   0  875984  69036  50288 S   0.0   0.2   0:06.10 gedit
 116288 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 118764 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 119741 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 120069 root      20   0       0      0      0 I   0.0   0.0   0:01.20 kworker+
 120146 root       0 -20       0      0      0 I   0.0   0.0   0:00.75 kworker+
 120879 root       0 -20       0      0      0 I   0.0   0.0   0:00.86 kworker+
 123660 faezehg+  20   0   23036  10736   5120 S   0.0   0.0   0:00.50 zsh
 123665 faezehg+  20   0   19616   4912   2048 S   0.0   0.0   0:00.00 zsh
 123705 faezehg+  20   0   22236   6964   1664 S   0.0   0.0   0:00.00 zsh
 123707 faezehg+  20   0   22220   6964   1664 S   0.0   0.0   0:00.00 zsh
 123708 faezehg+  20   0    6976   1920   1664 S   0.0   0.0   0:00.03 gitstat+
 124540 faezehg+  20   0 2070556  28784  20480 S   0.0   0.1   0:00.17 docker
 124562 root      20   0   18216   3200   2688 S   0.0   0.0   0:00.04 bash
 124672 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 126038 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 126039 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
 127400 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
 127502 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
 127575 faezehg+  20   0   23044  10544   4864 S   0.0   0.0   0:00.66 zsh
 127580 faezehg+  20   0   19620   4532   1664 S   0.0   0.0   0:00.00 zsh
 127620 faezehg+  20   0   22240   7228   1920 S   0.0   0.0   0:00.00 zsh
 127621 faezehg+  20   0   22224   6972   1664 S   0.0   0.0   0:00.00 zsh
 127623 faezehg+  20   0    6988   1920   1664 S   0.0   0.0   0:00.01 gitstat+
 128146 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 128617 faezehg+  20   0 1394.2g 144820 105412 S   0.0   0.4   0:00.33 chrome
 128656 faezehg+  20   0 1392.5g  80956  54656 S   0.0   0.2   0:00.04 chrome
 129139 faezehg+  20   0 1394.2g 103552  74496 S   0.0   0.3   0:00.08 chrome
 129403 faezehg+  39  19  407684  31264  24608 S   0.0   0.1   0:00.05 tracker+
 129409 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 
 ----------------------------------------------------------------------------------------------------------------------------------------------------------
     ~/FaezeGhiasi/term6/cloud/docker-hadoop    main ?10  uptime                                                                                                                       ✔  20:08:53  
 20:10:55 up  4:21,  1 user,  load average: 1.47, 1.46, 1.39

    ~/FaezeGhiasi/term6/cloud/docker-hadoop    main ?10       
